Name,Profile Link,Location,Avvo Rating,Details Snippet
,https://www.avvo.com/attorneys/10011-ny-mariacostanza-barducci-4538419.html,"New York, NY",8.6,"Practice Areas: 
               Immigration, Corporate & Incorporation, Contracts & Agreements and more"
,https://www.avvo.com/attorneys/10023-ny-laurence-borten-991305.html,"New York, NY",10,"Practice Areas: 
               Immigration, Asylum"
,https://www.avvo.com/attorneys/10038-ny-moumita-rahman-3342698.html,"Bio: Moumita Rahman, Esq., received her Juris Doctor from New York Law School, where she served as a past President of the NYLS South Asian Law Students Association, and as an Executive Editor of the NYLS Moot Court Association. Ms. Rahman competed suc...",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/92037-ca-allan-lolly-199407.html,"New York, NY",9.5,"Practice Areas: 
               Immigration"
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Rating not found,Choose an area of law that your issue relates to:AppealsBankruptcy & DebtBusinessCar AccidentsChild CustodyChild SupportCivil RightsConsumer ProtectionContracts and AgreementsCriminal DefenseDebt CollectionDivorce and SeparationDomestic ViolenceDUI and DWIElder LawEmployment and LaborEstate PlanningEducationFamilyFederal CrimeForeclosureGeneral PracticeImmigrationIntellectual PropertyLandlord or TenantLawsuits and DisputesLitigationMedical MalpracticePersonal InjuryPrivacyProbateReal EstateResidentialSex CrimeSocial Security & DisabilitySpeeding and Traffic TicketTaxViolent CrimeWorkers CompensationWrongful DeathSee All Practice Areas
Name not found,Link not found,"New York, NY",Rating not found,See All Practice Areas
Name not found,Link not found,"New York, NY",Rating not found,Browse All Legal Topics
Name not found,Link not found,"New York, NY",Alexander Joseph Segal,PRO
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",David Molot,PRO
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
,https://www.avvo.com/attorneys/10279-ny-bohunka-goldstein-946222.html,"We provide quality, compassionate immigration law services. Offices in Pennsylvania and New York.",7.9,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10279-ny-bohunka-goldstein-946222.html,"New York, NY",7.9,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10038-ny-tsui-yee-962297.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/19073-pa-kathryn-lenahan-4006775.html,"We provide quality, compassionate immigration law services. Offices in Pennsylvania and New York.",8.3,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10001-ny-vijay-bhagwati-3804432.html,"New York, NY",8.1,"Practice Areas: 
               Immigration, Business, Employment & Labor"
,https://www.avvo.com/attorneys/10018-ny-sweekrutha-shankar-4682773.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10001-ny-eve-guillergan-922052.html,"Bio: Eve C. Guillergan, Esq. has been a New York Immigration Lawyer for 17 years. She concentrates her practice in the area of U.S. immigration and naturalization laws. She graduated from Rutgers School of Law in Newark, New Jersey, in 1992 and has bee...",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10016-ny-ravisharon-khunkhun-984662.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10016-ny-dennis-ortiguera-982521.html,"New York, NY",9.9,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/38119-tn-elaine-witty-1694253.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10004-ny-wendy-barlow-1792339.html,"Bio: I am a Partner at a boutique immigration law firm located in New York, NY. I am currently admitted to practice in the States of New York and New Jersey, but have represented clients in immigration matters throughout United States and international...",9.4,"Practice Areas: 
               Immigration, Asylum"
,https://www.avvo.com/attorneys/10022-ny-peter-jensen-897280.html,"New York, NY",7.5,"Practice Areas: 
               Immigration, Business"
,https://www.avvo.com/attorneys/10001-ny-juancarlos-monteza-1227136.html,"Bio: Monteza Law Firm, P.C.- a boutique Immigration Law Firm based in NYC- was founded for a man who immigrated to the US himself, giving him the ability to understand his clients' concerns in a way that many other attorneys simply are not able to. Att...",10,"Practice Areas: 
               Immigration, Asylum"
,https://www.avvo.com/attorneys/11542-ny-dana-davidson-898045.html,"New York, NY",9.3,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10016-ny-pablo-velez-3812324.html,"Bio: Our firm, Velez & Cipriano, is dedicated to a wholistic approach with respect to advising international businesses and investors. With a business consulting office in Tokyo, Japan and a law office in New York City, we offer our clients the value o...",9.6,"Practice Areas: 
               Immigration"
